DATETIME, REPOSITORY_URL, BRANCH, SCORE, LEVEL, RESULT, DROP_INTERVAL, VALUE_MODE, VALUE_PREDICT_WEIGHT, 1LINE_SCORE, 2LINE_SCORE, 3LINE_SCORE, 4LINE_SCORE, GAMEOVER_SCORE, DROPDOWN_SCORE, BLOCK_NO, TRIAL_NUM, SCORE_MEAN, SCORE_STDEV, SCORE_MAX, SCORE_MIN
2022/09/11_8:09:20, https://github.com/cookie4869/tetris, cookie3_branch, 389, 3, SUCCESS, 1000, predict, outputs/2022-09-06-08-01-43/trained_model/tetris_epoch2577_score71800.pt, 0, 300, 0, 0, 0, 89, 8, 10, 150.40, 128.74, 389, 20
2022/06/30_22:50:36, https://github.com/seigot/tetris, master, -429, 3, SUCCESS, 1, default, outputs/latest/best_weight.pt, 0, 0, 0, 0, -500, 71, 10, , , , ,
2022/02/12_1:36:30, https://github.com/seigot/tetris, master, -4394, 3, SUCCESS, 1000, -, -, 100, 0, 0, 0, -5500, 1006, 180, 10, -5602.50, 611.61, -4394, -6488
2022/06/30_1:56:26, https://github.com/seigot/tetris, master, -4505, 3, SUCCESS, 1000, -, -, 0, 0, 0, 0, -5500, 995, 180, , , , ,
2022/02/12_1:37:00, https://github.com/seigot/tetris, master, -4858, 3, SUCCESS, 1000, -, -, 100, 0, 0, 0, -6000, 1042, 180, 10, -5267.10, 375.14, -4858, -6017
2022/02/23_2:04:52, https://github.com/seigot/tetris, master, -4873, 3, SUCCESS, 1000, -, -, 100, 0, 0, 0, -6000, 1027, 180, 10, -5536.90, 540.59, -4873, -6414
2022/05/08_0:33:25, https://github.com/seigot/tetris, master, -4881, 3, SUCCESS, 1000, -, -, 100, 0, 0, 0, -6000, 1019, 180, , , , ,
2022/08/04_21:42:36, https://github.com/seigot/tetris, master, -4914, 3, SUCCESS, 1000, default, outputs/latest/best_weight.pt, 100, 0, 0, 0, -6000, 986, 180, 10, -5525.60, 502.37, -4914, -6513
2022/05/08_15:49:58, https://github.com/seigot/tetris, master, -5387, 3, SUCCESS, 1000, -, -, 100, 0, 0, 0, -6500, 1013, 180, , , , ,
2022/01/25_17:23:29, https://github.com/seigot/tetris, master, -5443, 3, SUCCESS, 1000, -, -, 0, 0, 0, 0, -6500, 1057, 180, -, -, -, -, -
2022/01/04_13:07:25, https://github.com/seigot/tetris, master, -5469, 3, SUCCESS, 1000, -, -, 0, 0, 0, 0, -6500, -, -, -, -, -, -, -
2022/01/22_22:23:31, https://github.com/seigot/tetris, master, -5477, 3, SUCCESS, 1000, -, -, 0, 0, 0, 0, -6500, 1023, 180, -, -, -, -, -
2022/01/04_4:06:48, https://github.com/seigot/tetris, master, -5532, 3, SUCCESS, 1000, -, -, 0, 0, 0, 0, -6500, -, -, -, -, -, -, -
2022/06/15_0:52:52, https://github.com/seigot/tetris, master, -10860, 3, SUCCESS, 1000, -, -, 100, 0, 0, 0, -12000, 1040, 180, , , , ,
2022/02/12_1:36:22, https://github.com/seigot/tetris, master, -891529, 3, SUCCESS, 1, -, -, 2900, 0, 0, 0, -1048000, 153571, 27515, 10, -919975.20, 15466.78, -891529, -947633
2022/05/08_15:50:35, https://github.com/seigot/tetris, master, -1393665, 3, SUCCESS, 1, -, -, 5300, 0, 0, 0, -1640000, 241035, 43112, , , , ,
